"x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "y"
"1" 0.01 0.85 0.57 0.33 0.37 0.25 0.51 0.13 17.6328866897873
"2" 0.03 0.25 0.25 0.45 0.69 0.13 0.99 0.75 19.8759603125961
"3" 0.05 0.19 0.91 0.77 0.77 0.63 0.23 0.89 27.5136928831021
"4" 0.07 0.31 0.15 0.79 0.19 0.01 0.29 0.53 33.5528871307191
"5" 0.09 0.37 0.01 0.27 0.47 0.59 0.37 0.15 21.0712446657097
"6" 0.11 0.75 0.59 0.85 0.41 0.81 0.09 0.43 31.704614548732
"7" 0.13 0.59 0.55 0.95 0.75 0.61 0.93 0.69 28.5228922198069
"8" 0.15 0.61 0.61 0.47 0.59 0.09 0.01 0.71 45.0203719318409
"9" 0.17 0.09 0.33 0.75 0.99 0.43 0.43 0.35 36.0877712972936
"10" 0.19 0.79 0.75 0.23 0.79 0.97 0.83 0.45 20.5426759878329
"11" 0.21 0.17 0.69 0.01 0.63 0.73 0.55 0.01 22.2545090040421
"12" 0.23 0.01 0.45 0.55 0.13 0.67 0.41 0.87 40.0857799679302
"13" 0.25 0.97 0.29 0.05 0.65 0.71 0.15 0.57 34.2313022512523
"14" 0.27 0.53 0.89 0.11 0.15 0.77 0.25 0.49 33.898075064241
"15" 0.29 0.77 0.11 0.69 0.11 0.39 0.95 0.31 40.6031795890036
"16" 0.31 0.67 0.07 0.35 0.45 0.95 0.73 0.77 33.7971946199292
"17" 0.33 0.07 0.99 0.29 0.21 0.33 0.75 0.39 42.7752866346825
"18" 0.35 0.69 0.63 0.19 0.01 0.15 0.61 0.85 53.3258404563952
"19" 0.37 0.51 0.93 0.91 0.09 0.37 0.59 0.81 67.2641013273629
"20" 0.39 0.63 0.83 0.43 0.93 0.23 0.69 0.99 62.140502232733
"21" 0.41 0.49 0.77 0.39 0.87 0.27 0.89 0.11 49.2551342376154
"22" 0.43 0.13 0.47 0.83 0.17 0.53 0.49 0.03 62.7222453921319
"23" 0.45 0.81 0.09 0.93 0.53 0.41 0.53 0.95 83.7182062865185
"24" 0.47 0.57 0.85 0.99 0.71 0.21 0.33 0.21 89.2226825176691
"25" 0.49 0.45 0.79 0.53 0.03 0.93 0.91 0.41 48.8662060257358
"26" 0.51 0.41 0.03 0.17 0.49 0.35 0.27 0.91 79.6476714348483
"27" 0.53 0.55 0.27 0.59 0.97 0.03 0.03 0.17 106.54952773558
"28" 0.55 0.91 0.51 0.87 0.57 0.91 0.77 0.07 63.4196279220742
"29" 0.57 0.29 0.95 0.37 0.67 0.99 0.65 0.83 60.6683189295673
"30" 0.59 0.21 0.43 0.03 0.51 0.65 0.97 0.61 53.8719345622777
"31" 0.61 0.11 0.53 0.15 0.91 0.75 0.07 0.47 78.7867714557843
"32" 0.63 0.95 0.23 0.31 0.83 0.29 0.81 0.51 81.3457928641496
"33" 0.65 0.99 0.97 0.67 0.85 0.69 0.47 0.55 94.9368170231294
"34" 0.67 0.03 0.35 0.21 0.35 0.05 0.45 0.27 100.631613944737
"35" 0.69 0.89 0.67 0.49 0.29 0.55 0.13 0.97 124.899337790041
"36" 0.71 0.35 0.21 0.97 0.31 0.83 0.71 0.59 102.825177341466
"37" 0.73 0.43 0.17 0.41 0.89 0.89 0.63 0.09 74.9644448247982
"38" 0.75 0.65 0.39 0.73 0.05 0.07 0.17 0.63 165.284318643472
"39" 0.77 0.83 0.73 0.61 0.07 0.47 0.39 0.05 114.432890237238
"40" 0.79 0.15 0.49 0.63 0.27 0.17 0.79 0.93 136.132775857091
"41" 0.81 0.87 0.87 0.07 0.43 0.45 0.85 0.65 92.284040212532
"42" 0.83 0.71 0.65 0.09 0.61 0.31 0.19 0.29 124.0675686056
"43" 0.85 0.33 0.05 0.57 0.33 0.49 0.05 0.23 152.95119142292
"44" 0.87 0.27 0.81 0.81 0.55 0.87 0.21 0.33 141.108368503901
"45" 0.89 0.93 0.13 0.89 0.81 0.51 0.35 0.25 159.556182626025
"46" 0.91 0.39 0.37 0.65 0.95 0.57 0.67 0.79 143.828744538451
"47" 0.93 0.73 0.19 0.13 0.25 0.79 0.57 0.37 99.129730348446
"48" 0.95 0.05 0.41 0.25 0.23 0.85 0.31 0.67 124.538739457262
"49" 0.97 0.23 0.71 0.51 0.73 0.11 0.11 0.73 219.866535589119
"50" 0.99 0.47 0.31 0.71 0.39 0.19 0.87 0.19 155.495662249922
